sensor_id,geo_feature,feature_type,buffer_size,sum(value),count
72607,highway,tertiary,1000,1196.557997535208,
85641,highway,secondary,500,27.183098910772944,
83499,highway,tertiary,1000,3332.8530162732186,
86369,man_made,pipeline,1000,262.5092124568164,
72607,highway,secondary,1000,3576.613818811459,
66029,highway,track,500,952.8277889810216,
81081,highway,footway,500,5170.638624141162,
84721,highway,residential,500,7489.452420874138,
83499,highway,service,500,1701.8489650284905,
66029,highway,path,100,60.31767417620927,
83081,highway,secondary,500,1499.4024825779993,
83081,highway,service,500,1323.246803867114,
66029,highway,tertiary,500,903.6802823135135,
83081,highway,secondary,100,72.64460868117152,
86369,highway,track,1000,715.139449917428,
81081,highway,tertiary,1000,1206.5933586457118,
85641,highway,primary,500,792.9180773132987,
66029,highway,footway,1000,13206.1311148714,
85641,highway,path,1000,561.4428752543436,
85641,highway,secondary,1000,568.0626504297559,
8640,highway,secondary,100,197.1803362974873,
81081,highway,path,1000,3017.1545059370665,
84721,highway,tertiary,1000,3902.47313887276,
84721,highway,service,500,181.93166083545947,
81541,highway,residential,1000,21779.244428169022,
81541,man_made,compass_rose,500,16.38462424866303,
83081,highway,residential,500,4881.603820394593,
84721,highway,steps,1000,1103.6099671377967,
83081,highway,service,100,568.1765921109404,
66029,highway,footway,100,215.30651047790212,
81081,waterway,stream,1000,407.49187472576506,
86369,highway,tertiary,1000,859.2697280672363,
81541,highway,residential,500,5087.633535733442,
72607,highway,residential,100,441.22112540475325,
83081,highway,primary,1000,1737.3989708694814,
83081,highway,footway,1000,5609.582315598626,
86369,highway,service,500,1342.7829681432645,
72607,highway,service,500,2517.127208968228,
83081,highway,path,1000,1373.3812127054496,
86369,highway,cycleway,1000,50.211090576416105,
8640,highway,footway,1000,356.4560886066617,
85641,highway,path,500,409.7297438582694,
86369,highway,primary,1000,663.3849650221686,
66029,highway,residential,100,218.83251774112205,
83499,highway,footway,500,3410.6280904439272,
81541,highway,secondary_link,1000,203.2061132779667,
81541,highway,footway,500,17057.375546615353,
8640,highway,service,1000,3537.029745985564,
66029,highway,residential,500,2458.933877771416,
83499,highway,service,100,30.20472188894484,
66029,highway,unclassified,1000,44.06824252733906,
86369,highway,residential,500,5443.896011447444,
86369,highway,residential,1000,17198.207127803173,
85641,highway,residential,500,8561.322852715739,
81081,highway,residential,100,405.57247637992606,
81081,highway,path,500,586.284313713102,
83081,waterway,stream,1000,93.1172533326852,
66029,highway,secondary,1000,1769.0728220193878,
81081,highway,service,500,950.1581436286672,
81081,highway,secondary,1000,5480.123529380559,
81541,highway,cycleway,1000,836.8726455732295,
86369,waterway,stream,100,214.04449277335567,
8640,highway,residential,1000,18649.20858340113,
86369,waterway,stream,1000,2295.9009446428067,
81081,highway,track,1000,1178.5280067457022,
86369,highway,steps,1000,9.916955996950392,
86369,highway,unclassified,1000,172.45247171956868,
81541,highway,unclassified,1000,2928.559547977985,
72607,waterway,stream,500,765.7638908052089,
81081,highway,secondary,500,2118.303568710777,
83499,highway,service,1000,6511.662589716925,
81081,highway,residential,500,6853.039027999724,
83499,highway,residential,500,4892.254852110115,
81541,highway,tertiary,500,805.9632618661964,
81081,highway,footway,1000,20447.83335884939,
84721,highway,service,1000,2029.7704409352475,
83499,highway,residential,100,330.0666820687854,
8640,highway,cycleway,500,1339.6844840205206,
81541,highway,residential,100,332.11615801454934,
81541,highway,secondary,500,2582.3675621672965,
8640,highway,tertiary,500,229.4655014024386,
86369,highway,secondary,500,1029.245996835477,
72607,highway,path,1000,3995.473614024131,
83499,highway,footway,1000,10759.207314524505,
8640,highway,residential,500,5513.492640515937,
81081,highway,bridleway,1000,818.2413651786011,
72607,highway,secondary,500,931.2927948786626,
83499,highway,cycleway,1000,328.5774997443188,
66029,highway,residential,1000,11755.017912438516,
85641,highway,footway,1000,1325.1662438006042,
66029,highway,path,1000,11020.313011093262,
81541,waterway,stream,1000,983.9682950807232,
66029,highway,path,500,3639.498164063793,
84721,highway,footway,500,437.48026355749226,
85641,highway,residential,1000,25712.43004024112,
72607,highway,footway,1000,443.8483572805752,
83499,highway,residential,1000,20936.77346002897,
8640,highway,secondary,1000,3977.699606848768,
8640,highway,tertiary,1000,3561.287919704956,
66029,highway,service,1000,3343.080148613412,
81541,highway,trunk,1000,1965.106554651795,
84721,highway,footway,1000,1095.6371838461428,
83081,highway,footway,500,2617.348121091946,
83081,highway,footway,100,242.0570234337423,
84721,highway,service,100,112.69940392413862,
83499,highway,path,1000,893.6132070683368,
85641,highway,path,100,77.90878778769329,
81081,highway,service,1000,5377.48435918836,
86369,highway,secondary,1000,2185.2704507553,
81541,highway,service,500,2051.295403959504,
81541,highway,footway,1000,68606.11972664502,
84721,highway,steps,500,101.67165333148333,
86369,highway,motorway_link,1000,1801.6513086152663,
81081,highway,footway,100,399.2017035620246,
81541,man_made,water_works,1000,134.32630487906317,
8640,highway,secondary,500,1975.335561402244,
81541,highway,trunk_link,1000,11.267466720961906,
83081,highway,service,1000,5061.418775215387,
85641,highway,footway,500,352.698972118127,
8640,highway,track,1000,2940.956362030128,
66029,highway,track,1000,7316.818925925898,
81541,man_made,compass_rose,1000,16.38462424866303,
84721,highway,tertiary,500,1173.9820175472605,
86369,highway,footway,1000,1508.910077167305,
66029,highway,footway,500,2781.744517293497,
8640,highway,residential,100,85.29361833047017,
83081,highway,residential,1000,17889.485971470534,
83081,highway,path,500,197.0121136679912,
86369,highway,residential,100,123.90763384444004,
85641,highway,residential,100,818.1256012837359,
85641,highway,tertiary,1000,330.20175602997926,
8640,highway,cycleway,1000,2481.8387803917835,
85641,highway,primary,1000,3312.231129713559,
8640,highway,service,500,1008.7145063512976,
72607,man_made,reservoir_covered,1000,482.3825941912804,
8640,highway,footway,500,67.72498256679746,
85641,highway,service,500,180.91063468055904,
8640,highway,track,500,62.40720094264388,
83499,highway,tertiary,500,695.1968934786331,
72607,waterway,stream,1000,2515.703524091801,
86369,waterway,stream,500,1145.1973988212246,
72607,highway,residential,1000,24687.117781619312,
84721,waterway,stream,1000,1120.0995718728802,
72607,highway,residential,500,5910.496823226121,
86369,highway,motorway,1000,2022.802689054689,
86369,highway,service,1000,10051.733732916908,
85641,highway,service,1000,6811.815517319989,
81541,highway,tertiary,1000,3064.2160885877074,
81541,highway,service,1000,9620.10434657918,
66029,waterway,stream,500,727.9309579507482,
86369,highway,secondary_link,1000,69.77898314172602,
85641,highway,steps,1000,34.461309058628075,
83081,highway,secondary,1000,3716.7482143941193,
66029,highway,secondary_link,1000,27.59762031946721,
81541,highway,footway,100,662.2276194558194,
83081,highway,track,1000,690.6553063418186,
81081,highway,residential,1000,20491.67849162076,
72607,highway,service,1000,8111.42868131064,
72607,highway,steps,1000,54.620421032104105,
72607,highway,tertiary,500,612.3945270226457,
66029,waterway,stream,1000,1931.065701047924,
84721,highway,residential,1000,30630.414407842232,
84721,highway,residential,100,180.20482374883088,
81541,highway,secondary,1000,7520.411022112577,
66029,highway,tertiary,1000,1887.3675637428423,
8640,highway,cycleway,100,32.42047389754144,
66029,man_made,pier,1000,24.274107317538345,
72607,highway,traffic_signals,1000,,2.0
66029,highway,turning_circle,500,,4.0
8640,highway,turning_circle,1000,,19.0
81541,highway,crossing,1000,,360.0
86369,highway,bus_stop,1000,,5.0
66029,highway,stop,1000,,6.0
81081,highway,stop,100,,1.0
84721,highway,turning_circle,1000,,13.0
81081,highway,crossing,100,,4.0
72607,highway,turning_circle,500,,2.0
66029,highway,crossing,1000,,4.0
83081,highway,mini_roundabout,500,,1.0
83081,highway,traffic_signals,1000,,2.0
85641,highway,bus_stop,500,,1.0
8640,highway,traffic_signals,500,,1.0
83499,highway,stop,500,,9.0
84721,highway,bus_stop,1000,,29.0
83499,highway,turning_loop,1000,,1.0
83081,highway,mini_roundabout,1000,,1.0
85641,highway,traffic_signals,1000,,2.0
86369,highway,turning_circle,1000,,5.0
72607,highway,crossing,500,,6.0
81541,highway,bus_stop,500,,1.0
83499,highway,turning_circle,1000,,21.0
83081,highway,turning_circle,1000,,26.0
84721,highway,bus_stop,500,,8.0
83081,highway,crossing,1000,,4.0
72607,highway,crossing,1000,,12.0
72607,highway,bus_stop,1000,,16.0
81081,highway,turning_circle,500,,13.0
8640,highway,traffic_signals,1000,,2.0
85641,highway,turning_circle,1000,,1.0
81081,highway,turning_circle,1000,,42.0
8640,highway,stop,1000,,3.0
81541,highway,bus_stop,1000,,3.0
83081,highway,traffic_signals,500,,1.0
83081,highway,stop,1000,,12.0
8640,highway,stop,500,,1.0
84721,highway,traffic_signals,1000,,1.0
83499,highway,crossing,500,,16.0
81081,highway,traffic_signals,500,,2.0
81541,highway,turning_circle,1000,,5.0
8640,highway,turning_circle,500,,9.0
84721,highway,stop,1000,,2.0
81081,highway,traffic_signals,1000,,10.0
86369,highway,stop,1000,,16.0
84721,highway,crossing,500,,1.0
81541,highway,stop,1000,,56.0
66029,highway,traffic_signals,1000,,5.0
84721,highway,crossing,1000,,9.0
85641,highway,traffic_signals,500,,1.0
83081,highway,turning_circle,500,,11.0
83499,highway,stop,1000,,40.0
83499,highway,turning_circle,500,,4.0
85641,highway,stop,1000,,6.0
72607,highway,traffic_signals,500,,1.0
81081,highway,crossing,500,,29.0
85641,highway,crossing,1000,,4.0
84721,highway,turning_circle,500,,1.0
83499,highway,traffic_signals,1000,,1.0
83499,highway,crossing,1000,,46.0
81541,highway,traffic_signals,500,,3.0
86369,highway,traffic_signals,1000,,7.0
72607,highway,bus_stop,500,,6.0
81541,highway,give_way,1000,,1.0
85641,highway,bus_stop,1000,,5.0
81081,highway,bus_stop,1000,,5.0
66029,highway,bus_stop,1000,,2.0
84721,highway,traffic_signals,500,,1.0
86369,highway,bus_stop,500,,2.0
81541,highway,traffic_signals,1000,,8.0
81081,highway,crossing,1000,,103.0
72607,highway,turning_circle,1000,,8.0
86369,highway,crossing,1000,,35.0
81541,highway,stop,500,,7.0
66029,highway,stop,500,,1.0
86369,highway,street_lamp,1000,,70.0
81081,highway,stop,1000,,11.0
81081,highway,stop,500,,6.0
66029,highway,turning_circle,1000,,11.0
81541,highway,crossing,500,,90.0
86369,highway,motorway_junction,1000,,1.0
86369,highway,crossing,500,,3.0
81081,landuse,grass,500,701.9985671169317,
81541,building,carport,500,117.34937258274658,
81541,building,retail,1000,42269.04307560818,
83081,building,residential,500,5850.212904498965,
66029,landuse,residential,500,345657.45634541946,
81541,amenity,parking,1000,41049.93703541079,
81081,building,roof,1000,688.9460472717551,
86369,landuse,retail,1000,11254.91579234224,
83499,amenity,school,1000,71944.70654169549,
8640,landuse,residential,1000,120759.86344824044,
84721,tourism,guest_house,1000,288.0141306273096,
83081,building,house,1000,381744.566234792,
83081,building,commercial,500,852.8258476714253,
81081,landuse,retail,1000,20945.239758694028,
83499,tourism,picnic_site,1000,5524.684249003176,
84721,building,house,500,17135.403774807353,
81081,natural,scrub,500,25797.791459541288,
81541,amenity,place_of_worship,1000,37971.72753233804,
81541,building,semidetached_house,1000,16840.957922159323,
83499,building,government,1000,64.76645152153058,
8640,amenity,school,1000,55046.27224289229,
81081,landuse,recreation_ground,1000,59.45823413424796,
86369,building,roof,1000,208.68902632291477,
83499,amenity,place_of_worship,1000,1107.9294766906205,
83499,building,church,1000,1461.7279349425658,
85641,tourism,motel,1000,899.3998543348148,
81541,landuse,residential,1000,2424189.2969393223,
86369,amenity,bank,1000,685.7575665583817,
84721,building,house,100,426.2827970479912,
83081,amenity,school,100,27746.20931361062,
81541,building,office,500,2195.137571693399,
85641,tourism,attraction,1000,325.7978041072968,
86369,building,house,500,986.9574846361865,
81081,amenity,fuel,1000,161.6650690037349,
83081,landuse,residential,500,14674.797685193402,
83499,amenity,parking,1000,4561.496179076112,
72607,landuse,residential,500,736101.9414260212,
83081,building,commercial,1000,3668.6595174161034,
81541,building,roof,1000,4707.879352505954,
83081,building,retail,1000,8555.00102765683,
83499,building,residential,500,1880.1599837422468,
83081,amenity,parking,1000,12602.93458541122,
81541,building,school,500,7379.404606707353,
81081,natural,wood,500,49984.72368238423,
81541,building,apartments,500,4658.456107730937,
83081,natural,scrub,1000,79.87169933461236,
72607,landuse,retail,1000,103623.35076321589,
72607,landuse,residential,100,31214.451523088497,
83081,amenity,school,1000,218873.2508678762,
81081,amenity,school,1000,59052.68086623082,
8640,building,house,500,212.78945723661045,
66029,natural,water,500,1.5307454029183931,
81541,tourism,picnic_site,500,69.49992979908448,
81541,building,semidetached_house,500,3540.559367847888,
85641,amenity,parking,1000,10281.655363637035,
81081,amenity,parking,1000,6458.224847894222,
81541,amenity,school,500,54132.660750119045,
72607,landuse,retail,500,32984.637073177204,
85641,amenity,school,1000,25341.660035077544,
83081,landuse,residential,1000,122829.94905304616,
8640,amenity,library,1000,328.1699138673727,
83499,landuse,residential,500,42662.260275602384,
72607,building,house,1000,12786.419277881843,
66029,natural,water,1000,10862.1139758698,
83499,tourism,picnic_site,500,5524.684249003176,
81081,landuse,meadow,1000,1720.2296972953116,
84721,amenity,school,500,5189.355383503774,
8640,natural,water,500,1999.4017142387356,
83499,amenity,community_centre,1000,2679.612734416922,
81541,building,commercial,1000,3289.7016928188486,
81541,building,house,1000,5169.407487564567,
85641,amenity,restaurant,1000,928.8555920804718,
86369,amenity,fuel,1000,2077.3009369714005,
84721,building,house,1000,107255.96968357202,
84721,building,garage,500,848.8205841445779,
83499,building,office,1000,4343.705312448789,
81541,building,carport,1000,784.187551683901,
81541,tourism,picnic_site,1000,69.49992979908448,
81541,landuse,residential,100,31214.451522507174,
83499,landuse,religious,1000,16978.83320543758,
72607,amenity,parking,500,10859.32762701271,
66029,landuse,residential,1000,1156352.1916908748,
81541,amenity,fast_food,1000,162.43040762245482,
81541,building,stadium,1000,284.8210349025475,
66029,amenity,parking,1000,31651.42325636767,
81541,building,shed,500,381.47064233810977,
81081,amenity,school,500,13130.379470441669,
8640,building,house,1000,212.78945723661045,
81541,natural,wood,1000,1235.457488655646,
81541,building,office,1000,2832.422723980898,
72607,amenity,shelter,1000,22.891736309751455,
66029,building,residential,1000,116.92875217931544,
8640,natural,water,1000,13234.93749877009,
85641,amenity,place_of_worship,1000,1157.2826809698597,
81541,building,retail,500,2165.973112575325,
83081,amenity,school,500,123078.89260025384,
66029,natural,scrub,1000,5832.404583700503,
81541,landuse,commercial,1000,86419.55820401007,
84721,amenity,school,1000,11799.749118512766,
81541,building,detached,1000,272924.64614690584,
83081,landuse,retail,1000,30001.070260486187,
83081,building,school,1000,10997.157607032346,
81081,landuse,residential,100,31214.451522617263,
85641,amenity,bank,1000,2214.350865213996,
86369,natural,wood,1000,62515.14176246991,
86369,amenity,pharmacy,1000,1186.6065022964528,
81081,landuse,residential,500,647943.6897533352,
81541,building,detached,500,54151.88984858855,
81081,building,house,1000,790.5499743900657,
81541,building,toilets,500,43.87192949957414,
83499,amenity,clinic,1000,2611.9888987020104,
81541,amenity,school,1000,206694.28653323004,
72607,natural,wood,1000,1598.7890089659827,
81541,building,garage,1000,1748.344168390753,
81541,building,toilets,1000,43.87192949957414,
85641,building,house,1000,5135.245273115549,
81081,landuse,residential,1000,2028397.5247268905,
83499,building,house,500,77127.38501530493,
83499,building,house,1000,350941.1950359705,
81541,building,stadium,500,284.8210349025475,
72607,amenity,parking,1000,34867.29526065112,
81081,natural,wood,1000,329088.3807755784,
81541,landuse,commercial,500,53173.99510094984,
81081,natural,scrub,1000,646353.1169445856,
86369,amenity,cinema,1000,1613.3864599053911,
66029,landuse,residential,100,17775.830376456874,
86369,building,garage,1000,57.5183008784872,
8640,tourism,museum,1000,659.6359514466894,
81541,building,church,1000,1322.2890937025052,
66029,amenity,school,1000,76953.46431780246,
83499,landuse,residential,1000,696512.7022841359,
85641,landuse,commercial,1000,1273.6683723537271,
84721,building,garage,1000,4175.529952923464,
81541,building,apartments,1000,24535.014747774552,
72607,amenity,fire_station,1000,832.1771183363403,
81541,building,hotel,1000,683.8937848326975,
81541,building,commercial,500,1621.841207751074,
81541,building,roof,500,7.74818111253773,
85641,building,office,1000,742.892710845325,
81541,building,garage,500,643.2835069797617,
86369,landuse,residential,1000,5663.776087122289,
72607,landuse,meadow,1000,5487.730120684858,
81081,landuse,grass,1000,7627.788357399128,
66029,landuse,commercial,1000,100670.19350497476,
83499,amenity,school,500,35741.754519531365,
81541,building,school,1000,32094.28721077469,
83499,building,apartments,1000,6724.7407538575935,
86369,building,house,1000,25829.494331594866,
83081,building,house,500,113437.59757469516,
81541,building,house,500,1543.0232994763,
83499,building,apartments,500,247.1070503056438,
83499,building,house,100,4673.007113418236,
83081,building,residential,1000,48861.51277804792,
81541,landuse,retail,1000,132975.65456023364,
81541,building,shed,1000,956.260746483505,
72607,landuse,residential,1000,2519563.801241049,
81541,landuse,residential,500,578695.3400664153,
72607,amenity,school,1000,10287.48971054599,
86369,amenity,parking,1000,49589.07204019788,
85641,building,house,500,4825.482733316547,
81541,amenity,shelter,1000,164.9092166732968,
66029,amenity,place_of_worship,1000,679.8782272352496,
72607,building,school,1000,2546.669713931921,
83499,building,school,1000,288.0762433270256,
83499,building,residential,1000,11928.913474625522,
81541,tourism,motel,1000,683.8937848326975,
