sensor_id,geo_feature,feature_type,buffer_size,count
60353,highway,turning_circle,1000,38
119567,highway,motorway_junction,500,1
60353,highway,bus_stop,1000,5
69447,highway,turning_circle,500,7
14161,highway,crossing,500,28
56545,highway,bus_stop,1000,12
139716,highway,traffic_signals,500,4
51569,highway,crossing,1000,8
122079,highway,stop,500,22
96949,highway,traffic_signals,1000,8
82265,highway,turning_circle,1000,6
51681,highway,turning_circle,1000,28
48633,highway,stop,1000,19
61015,highway,crossing,1000,1
80691,highway,turning_circle,1000,9
81047,highway,turning_circle,500,5
101221,highway,bus_stop,1000,5
70701,highway,bus_stop,500,2
85823,highway,traffic_signals,100,4
82079,highway,stop,500,11
87345,highway,turning_circle,1000,1
20085,highway,turning_circle,1000,19
60663,highway,bus_stop,1000,20
113066,highway,trailhead,1000,1
4431,highway,turning_circle,1000,27
60105,highway,crossing,500,4
94955,highway,traffic_signals,500,20
109718,highway,crossing,500,7
71503,highway,bus_stop,1000,21
67983,highway,crossing,500,1
60455,highway,crossing,1000,1
2653,highway,turning_circle,1000,16
89847,highway,traffic_signals,1000,9
2350,highway,crossing,1000,26
80583,highway,crossing,1000,1
104460,highway,traffic_signals,500,2
85081,highway,traffic_signals,1000,9
22963,highway,turning_circle,500,2
69197,highway,bus_stop,1000,8
18883,highway,crossing,1000,178
70669,highway,stop,500,6
65259,highway,stop,500,6
19335,highway,crossing,1000,25
66183,highway,stop,1000,22
66183,highway,bus_stop,500,13
104432,highway,turning_loop,1000,1
2362,highway,traffic_signals,500,6
83549,highway,traffic_signals,500,8
83549,highway,crossing,1000,256
75775,highway,turning_loop,1000,1
85015,highway,turning_circle,1000,34
83227,highway,turning_circle,1000,21
14063,highway,crossing,1000,1
85823,highway,crossing,1000,239
55463,highway,crossing,1000,124
16541,highway,traffic_signals,1000,21
121439,highway,turning_circle,100,2
6244,highway,turning_circle,1000,7
82863,highway,turning_circle,1000,9
28425,highway,crossing,1000,76
2653,highway,bus_stop,1000,15
89847,highway,bus_stop,1000,31
48633,highway,bus_stop,500,3
92029,highway,crossing,1000,60
19157,highway,bus_stop,100,2
87779,highway,turning_circle,1000,9
75021,highway,turning_circle,500,2
75061,highway,turning_circle,500,2
75021,highway,bus_stop,500,4
14885,highway,turning_loop,1000,1
69447,highway,stop,100,2
68669,highway,give_way,1000,4
121439,highway,give_way,1000,3
75775,highway,turning_loop,500,1
98865,highway,bus_stop,1000,16
91335,highway,crossing,500,9
82265,highway,turning_loop,1000,1
80691,highway,traffic_signals,1000,9
70701,highway,stop,500,45
73853,highway,turning_circle,1000,17
76377,highway,traffic_signals,1000,2
53299,highway,crossing,1000,223
19613,highway,stop,500,7
115705,highway,turning_circle,1000,3
53517,highway,traffic_signals,500,15
77807,highway,traffic_signals,1000,16
82079,highway,stop,1000,37
89751,highway,turning_circle,500,3
79617,highway,traffic_signals,1000,2
82863,highway,traffic_signals,1000,6
122079,highway,stop,100,1
62291,highway,turning_circle,500,1
69207,highway,traffic_signals,1000,1
70009,highway,turning_circle,1000,4
119567,highway,crossing,1000,30
94955,highway,give_way,1000,13
63421,highway,crossing,1000,8
37849,highway,crossing,100,5
36111,highway,motorway_junction,1000,1
38371,highway,crossing,1000,65
120513,highway,crossing,500,19
36111,highway,crossing,500,22
62493,highway,turning_circle,1000,12
9168,highway,stop,500,1
55449,highway,bus_stop,500,1
60353,highway,motorway_junction,1000,1
63469,highway,turning_circle,500,5
83641,highway,elevator,500,1
65747,highway,turning_circle,1000,14
65259,highway,traffic_signals,1000,3
104432,highway,bus_stop,500,14
59873,highway,turning_loop,500,1
37923,highway,turning_circle,1000,34
77711,highway,traffic_signals,1000,2
75529,highway,crossing,500,5
91335,highway,turning_circle,500,6
65223,highway,turning_circle,500,12
119505,highway,crossing,1000,7
110494,highway,turning_circle,100,1
66029,highway,turning_circle,500,4
22963,highway,stop,1000,110
113160,highway,turning_circle,500,1
60353,highway,crossing,1000,102
19153,highway,bus_stop,500,23
113052,highway,bus_stop,1000,6
62493,highway,traffic_signals,1000,2
114557,highway,turning_circle,500,4
26379,highway,bus_stop,1000,3
49327,highway,stop,1000,7
6218,highway,traffic_signals,500,3
9168,highway,crossing,1000,29
73853,highway,turning_circle,500,3
19157,highway,crossing,1000,349
57887,highway,motorway_junction,1000,1
80691,highway,bus_stop,1000,59
114889,highway,bus_stop,500,5
18287,highway,stop,1000,57
112688,highway,turning_circle,500,4
104432,highway,bus_stop,1000,47
72609,highway,stop,1000,1
134440,highway,turning_circle,1000,2
77049,highway,turning_loop,1000,9
82863,highway,turning_circle,500,1
83041,highway,bus_stop,1000,1
6228,highway,crossing,1000,3
55449,highway,street_lamp,1000,2
143602,highway,crossing,1000,4
40471,highway,mini_roundabout,1000,1
94955,highway,stop,1000,118
16073,highway,give_way,1000,6
110494,highway,crossing,1000,22
69909,highway,give_way,1000,1
78267,highway,crossing,1000,10
22459,highway,turning_circle,500,3
11844,highway,crossing,500,1
19511,highway,traffic_signals,500,5
4103,highway,traffic_signals,1000,7
122079,highway,turning_circle,1000,4
12719,highway,crossing,500,6
6228,highway,traffic_signals,500,7
104460,highway,street_lamp,500,31
32537,highway,bus_stop,1000,4
92029,highway,stop,1000,82
99657,highway,crossing,500,43
83641,highway,crossing,1000,57
60105,highway,bus_stop,1000,5
54169,highway,crossing,500,1
74161,highway,traffic_signals,1000,11
17839,highway,turning_circle,1000,20
85823,highway,stop,500,7
104718,highway,motorway_junction,500,1
62455,highway,bus_stop,1000,11
11844,highway,give_way,1000,1
121439,highway,traffic_signals,1000,15
25507,highway,traffic_signals,1000,8
25507,highway,stop,1000,61
6228,highway,turning_circle,500,5
73853,highway,stop,1000,17
69197,highway,crossing,1000,145
57887,highway,bus_stop,500,4
110080,highway,bus_stop,1000,6
53299,highway,bus_stop,1000,9
77807,highway,crossing,1000,88
103850,highway,crossing,500,26
113206,highway,crossing,500,8
69451,highway,stop,1000,8
26379,highway,turning_circle,100,1
37197,highway,traffic_signals,1000,2
55277,highway,motorway_junction,500,3
8334,highway,stop,500,8
61015,highway,bus_stop,100,1
19157,highway,bus_stop,1000,27
37009,highway,crossing,1000,56
111998,highway,crossing,1000,68
73689,highway,bus_stop,1000,13
74161,highway,stop,500,2
110036,highway,bus_stop,500,1
111590,highway,bus_stop,100,3
62419,highway,crossing,1000,1
78787,highway,turning_circle,1000,1
77049,highway,stop,1000,1
90819,highway,stop,500,5
64763,highway,bus_stop,1000,1
109718,highway,crossing,1000,13
101221,highway,trailhead,1000,1
76683,highway,crossing,500,27
73853,highway,bus_stop,1000,6
113206,highway,turning_circle,1000,1
113052,highway,crossing,500,1
70097,highway,steps,500,1
25507,highway,turning_circle,1000,20
51681,highway,bus_stop,1000,1
14973,highway,bus_stop,1000,31
72817,highway,bus_stop,1000,15
19157,highway,traffic_signals,1000,19
53299,highway,traffic_signals,1000,10
104672,highway,crossing,1000,413
19573,highway,give_way,1000,2
39663,highway,traffic_signals,1000,5
69909,highway,turning_circle,1000,1
114557,highway,turning_circle,1000,20
11844,highway,traffic_signals,1000,2
98865,highway,stop,1000,17
124099,highway,traffic_signals,100,1
98085,highway,turning_circle,500,1
2350,highway,traffic_signals,1000,18
53299,highway,crossing,100,5
98713,highway,bus_stop,1000,7
108138,highway,bus_stop,1000,10
84207,highway,stop,1000,5
37009,highway,stop,1000,15
37849,highway,bus_stop,100,1
64795,highway,stop,1000,1
104432,highway,crossing,100,8
69451,highway,crossing,1000,57
131077,highway,crossing,1000,2
51681,highway,bus_stop,500,1
32537,highway,turning_circle,500,1
32537,highway,stop,500,4
51565,highway,turning_loop,1000,2
6222,highway,stop,1000,2
84357,highway,motorway_junction,1000,1
22963,highway,traffic_signals,1000,13
37849,highway,traffic_signals,1000,39
112834,highway,traffic_signals,1000,20
114379,highway,crossing,500,2
19157,highway,turning_loop,1000,1
65437,highway,street_lamp,500,2
65259,highway,traffic_signals,500,3
62419,highway,turning_circle,500,5
26561,highway,give_way,1000,2
70007,highway,crossing,100,5
20547,highway,turning_circle,100,1
73533,highway,stop,1000,1
15123,highway,stop,1000,1
12857,highway,mini_roundabout,1000,1
103960,highway,turning_circle,1000,6
110792,highway,bus_stop,100,1
83041,highway,trailhead,1000,1
40827,highway,bus_stop,1000,10
79213,highway,crossing,1000,8
76377,highway,turning_circle,100,2
37849,highway,stop,100,1
57787,highway,traffic_signals,1000,24
65437,highway,bus_stop,1000,37
76683,highway,stop,100,1
56777,highway,stop,1000,22
18453,highway,traffic_signals,1000,4
75021,highway,crossing,500,2
68669,highway,stop,500,9
72081,highway,crossing,1000,1
83041,highway,stop,1000,4
69599,highway,turning_circle,1000,36
90465,highway,crossing,100,4
139716,highway,stop,500,12
63421,highway,turning_circle,500,3
110080,highway,turning_loop,1000,1
94955,highway,crossing,100,5
73743,highway,crossing,1000,11
18883,highway,crossing,500,56
39663,highway,crossing,1000,49
82055,highway,stop,1000,8
109324,highway,traffic_signals,1000,3
22067,highway,traffic_signals,1000,1
78267,highway,turning_circle,1000,38
4445,highway,turning_circle,1000,27
65723,highway,traffic_signals,1000,24
111590,highway,bus_stop,1000,39
18287,highway,give_way,1000,2
69519,highway,turning_circle,1000,2
73533,highway,turning_circle,500,5
52981,highway,turning_circle,1000,11
4417,highway,stop,1000,6
4417,highway,stop,500,4
4417,highway,bus_stop,1000,1
122079,highway,bus_stop,1000,1
51577,highway,stop,500,1
19613,highway,turning_circle,1000,22
92029,highway,bus_stop,500,5
65227,highway,turning_circle,1000,17
19335,highway,traffic_signals,500,2
70097,highway,traffic_signals,1000,1
70449,highway,traffic_signals,500,2
80735,highway,crossing,500,3
87815,highway,stop,1000,20
121439,highway,traffic_signals,500,7
76597,highway,traffic_signals,500,2
1212,highway,stop,1000,72
89847,highway,motorway_junction,500,2
25507,highway,crossing,500,2
20721,highway,traffic_signals,500,13
73689,highway,turning_circle,1000,9
104708,highway,stop,1000,1
76683,highway,stop,500,69
38371,highway,stop,500,2
37725,highway,traffic_signals,1000,25
35809,highway,street_lamp,500,2
76465,highway,turning_circle,1000,20
6244,highway,traffic_signals,500,2
113877,highway,turning_loop,1000,1
81047,highway,traffic_signals,500,4
4431,highway,crossing,1000,96
104432,highway,stop,1000,29
36111,highway,stop,500,7
82991,highway,crossing,500,66
110036,highway,turning_circle,500,1
69909,highway,bus_stop,1000,86
103850,highway,bus_stop,1000,31
109324,highway,bus_stop,1000,24
136698,highway,crossing,500,3
62185,highway,bus_stop,1000,9
131077,highway,bus_stop,500,4
61015,highway,bus_stop,500,9
90819,highway,bus_stop,1000,2
37009,highway,motorway_junction,1000,3
63421,highway,motorway_junction,1000,2
111998,highway,turning_circle,500,2
112310,highway,turning_circle,500,8
66029,highway,stop,1000,6
69197,highway,stop,1000,81
73689,highway,crossing,1000,206
73667,highway,stop,500,52
59873,highway,turning_circle,500,4
11416,highway,stop,500,7
87815,highway,traffic_signals,1000,13
70007,highway,bus_stop,1000,7
86887,highway,stop,1000,2
28425,highway,traffic_signals,1000,7
139716,highway,crossing,1000,1
65223,highway,bus_stop,1000,7
34523,highway,traffic_signals,1000,11
70701,highway,stop,100,2
37703,highway,turning_circle,1000,14
104672,highway,give_way,1000,8
70669,highway,stop,100,1
113206,highway,bus_stop,1000,48
55463,highway,turning_circle,1000,7
51681,highway,motorway_junction,1000,1
51371,highway,stop,1000,1
110318,highway,bus_stop,1000,12
61015,highway,crossing,500,1
40471,highway,stop,500,12
101221,highway,traffic_signals,1000,19
75739,highway,stop,500,10
19613,highway,turning_circle,500,7
92029,highway,bus_stop,1000,13
87779,highway,traffic_signals,500,5
18287,highway,bus_stop,1000,41
70449,highway,crossing,1000,7
12719,highway,turning_circle,1000,2
89911,highway,bus_stop,1000,21
14973,highway,bus_stop,500,11
122079,highway,give_way,500,4
113877,highway,turning_circle,1000,1
76683,highway,traffic_signals,1000,22
60007,highway,bus_stop,1000,11
37703,highway,crossing,1000,126
70669,highway,stop,1000,7
86911,highway,turning_circle,1000,25
35809,highway,stop,1000,13
18287,highway,elevator,1000,1
108138,highway,traffic_signals,500,3
2350,highway,turning_circle,100,1
79617,highway,turning_circle,1000,16
124099,highway,crossing,1000,2
98713,highway,turning_loop,1000,1
70009,highway,motorway_junction,1000,5
97693,highway,bus_stop,1000,95
84357,highway,crossing,1000,2
67459,highway,traffic_signals,1000,10
67779,highway,crossing,500,21
37703,highway,crossing,500,1
114557,highway,traffic_signals,1000,6
89751,highway,turning_circle,1000,3
2362,highway,traffic_signals,1000,23
98713,highway,crossing,1000,6
65437,highway,traffic_signals,1000,31
22461,highway,turning_circle,1000,25
18481,highway,crossing,1000,14
54169,highway,turning_loop,1000,3
61235,highway,motorway_junction,1000,3
113052,highway,turning_circle,100,2
19153,highway,traffic_signals,1000,104
104718,highway,traffic_signals,500,12
77807,highway,bus_stop,1000,82
63991,highway,bus_stop,1000,70
112242,highway,crossing,1000,16
9168,highway,traffic_signals,500,2
16541,highway,stop,1000,61
121439,highway,crossing,500,12
108138,highway,stop,1000,2
73667,highway,crossing,1000,392
22963,highway,crossing,1000,195
19047,highway,stop,500,16
16073,highway,bus_stop,1000,28
82055,highway,traffic_signals,1000,25
18287,highway,traffic_signals,1000,16
35809,highway,stop,500,1
75021,highway,give_way,1000,1
11416,highway,turning_loop,1000,1
48633,highway,turning_circle,1000,9
55277,highway,turning_circle,1000,7
60663,highway,crossing,500,29
73743,highway,stop,500,2
65437,highway,priority,1000,52
69207,highway,turning_circle,500,9
101221,highway,traffic_signals,500,9
85081,highway,stop,100,1
53517,highway,stop,1000,26
63991,highway,turning_circle,1000,3
71503,highway,bus_stop,500,5
67983,highway,turning_circle,500,3
113292,highway,turning_circle,500,4
65223,highway,turning_circle,1000,31
12857,highway,motorway_junction,500,1
112332,highway,turning_circle,100,1
90819,highway,traffic_signals,500,1
51371,highway,turning_circle,100,1
51371,highway,traffic_signals,500,2
4445,highway,stop,500,1
65437,highway,turning_circle,1000,3
57887,highway,bus_stop,1000,9
71503,highway,stop,1000,8
82079,highway,traffic_signals,1000,70
97693,highway,stop,1000,40
37725,highway,crossing,500,66
103850,highway,bus_stop,500,14
56545,highway,stop,100,3
39665,highway,crossing,500,13
26561,highway,street_lamp,1000,1
60455,highway,bus_stop,500,4
122079,highway,traffic_signals,1000,25
1680,highway,turning_circle,1000,36
89847,highway,crossing,500,4
84997,highway,stop,1000,33
115705,highway,traffic_signals,1000,21
36111,highway,elevator,1000,1
114189,highway,bus_stop,500,10
38747,highway,turning_circle,500,3
77711,highway,stop,1000,4
119505,highway,turning_circle,500,2
92173,highway,turning_circle,1000,2
121453,highway,stop,1000,31
6228,highway,stop,1000,9
16073,highway,stop,1000,209
20165,highway,stop,500,18
70701,highway,turning_circle,1000,1
81047,highway,bus_stop,1000,11
67459,highway,bus_stop,1000,12
87779,highway,crossing,1000,47
85823,highway,traffic_signals,1000,64
17839,highway,turning_circle,500,6
67403,highway,turning_circle,100,1
87815,highway,bus_stop,500,5
27723,highway,turning_circle,500,5
20085,highway,turning_circle,100,1
4417,highway,turning_circle,1000,5
110602,highway,traffic_signals,1000,2
29201,highway,crossing,500,93
70701,highway,crossing,1000,87
113052,highway,turning_circle,500,24
113206,highway,traffic_signals,1000,43
85867,highway,crossing,500,99
65723,highway,crossing,500,72
77807,highway,crossing,500,2
78107,highway,turning_circle,1000,14
55277,highway,stop,1000,79
90819,highway,crossing,500,8
81731,highway,trailhead,1000,1
61193,highway,crossing,500,76
119567,highway,traffic_signals,1000,15
19157,highway,traffic_signals,100,1
60829,highway,turning_circle,1000,25
76377,highway,crossing,500,2
82991,highway,stop,500,11
37725,highway,traffic_signals,500,12
111590,highway,crossing,1000,140
22067,highway,stop,1000,10
19153,highway,steps,1000,1
86911,highway,crossing,1000,6
14117,highway,turning_loop,1000,1
14117,highway,turning_circle,1000,1
6244,highway,stop,500,1
6244,highway,turning_circle,500,2
32537,highway,stop,1000,15
37703,highway,motorway_junction,1000,1
70009,highway,crossing,1000,106
37703,highway,turning_loop,500,7
109718,highway,turning_circle,500,7
86273,highway,stop,1000,7
62291,highway,bus_stop,500,19
16073,highway,bus_stop,500,11
19613,highway,crossing,1000,8
113160,highway,turning_loop,1000,2
71503,highway,stop,500,3
51301,highway,bus_stop,1000,64
15669,highway,turning_circle,1000,3
87815,highway,crossing,500,7
12719,highway,traffic_signals,1000,3
40827,highway,turning_circle,1000,16
55325,highway,turning_circle,1000,9
124099,highway,stop,1000,2
16541,highway,give_way,1000,1
60105,highway,stop,1000,45
66029,highway,crossing,1000,4
14885,highway,stop,1000,2
85867,highway,stop,1000,14
120513,highway,bus_stop,1000,6
3265,highway,turning_circle,500,1
61321,highway,turning_circle,1000,15
111940,highway,turning_circle,1000,18
38747,highway,crossing,500,1
112366,highway,bus_stop,1000,7
89911,highway,street_lamp,500,1
19507,highway,crossing,500,16
89725,highway,turning_circle,500,1
55969,highway,bus_stop,1000,2
61193,highway,stop,1000,192
128231,highway,stop,1000,18
79177,highway,turning_circle,1000,26
53299,highway,crossing,500,69
64795,highway,crossing,1000,9
55277,highway,stop,500,26
91335,highway,bus_stop,1000,2
4103,highway,crossing,500,15
95961,highway,crossing,1000,3
76683,highway,turning_circle,1000,4
37849,highway,bus_stop,1000,41
80691,highway,stop,1000,4
69197,highway,stop,100,1
82055,highway,traffic_signals,500,2
22067,highway,crossing,1000,9
53517,highway,traffic_signals,1000,66
35809,highway,traffic_signals,500,18
112688,highway,bus_stop,100,2
35809,highway,street_lamp,1000,2
79337,highway,stop,500,17
108138,highway,turning_circle,1000,13
50093,highway,turning_circle,500,3
103960,highway,turning_circle,100,1
6218,highway,turning_circle,500,1
89725,highway,stop,1000,1
40471,highway,crossing,1000,86
83641,highway,turning_circle,1000,28
37849,highway,priority,500,10
63469,highway,stop,1000,117
19573,highway,crossing,1000,48
80691,highway,bus_stop,500,2
20165,highway,crossing,500,40
90925,highway,turning_loop,1000,1
82079,highway,motorway_junction,1000,2
69909,highway,traffic_signals,500,32
111590,highway,stop,1000,15
51301,highway,bus_stop,500,15
65227,highway,crossing,1000,1
115705,highway,crossing,500,51
65259,highway,bus_stop,100,1
61619,highway,crossing,1000,1
56545,highway,traffic_signals,1000,13
62493,highway,turning_circle,500,6
72081,highway,traffic_signals,1000,2
81731,highway,turning_circle,500,3
19511,highway,motorway_junction,500,3
76597,highway,stop,500,1
14973,highway,crossing,1000,94
64763,highway,turning_loop,1000,2
90819,highway,crossing,1000,36
121453,highway,street_lamp,100,1
143602,highway,crossing,500,2
53151,highway,bus_stop,1000,1
99657,highway,bus_stop,1000,12
54169,highway,stop,1000,1
20165,highway,give_way,1000,2
37009,highway,bus_stop,500,3
87779,highway,bus_stop,500,9
78031,highway,bus_stop,1000,1
112366,highway,give_way,1000,1
84207,highway,turning_circle,100,1
49327,highway,turning_circle,1000,6
101221,highway,crossing,1000,115
86407,highway,stop,1000,5
69197,highway,stop,500,22
81047,highway,traffic_signals,1000,9
4431,highway,bus_stop,1000,16
75061,highway,motorway_junction,1000,3
18453,highway,turning_circle,1000,15
62185,highway,stop,500,2
92019,highway,turning_loop,1000,1
86129,highway,turning_circle,500,3
19601,highway,turning_circle,1000,5
110318,highway,bus_stop,500,2
69835,highway,crossing,500,8
73667,highway,bus_stop,500,4
18453,highway,motorway_junction,1000,7
53517,highway,turning_circle,500,2
110324,highway,turning_circle,500,8
78015,highway,stop,1000,1
6222,highway,traffic_signals,1000,1
143602,highway,turning_circle,1000,22
61015,highway,turning_circle,500,1
72573,highway,turning_loop,500,1
55277,highway,crossing,500,1
73743,highway,turning_loop,1000,16
73667,highway,priority,1000,56
83641,highway,turning_circle,100,1
22461,highway,crossing,500,17
18883,highway,bus_stop,500,2
53517,highway,stop,500,8
26379,highway,stop,500,21
67403,highway,turning_circle,1000,33
70637,highway,crossing,500,3
119667,highway,motorway_junction,1000,2
78787,highway,turning_circle,500,1
32537,highway,turning_circle,1000,6
1680,highway,traffic_signals,1000,8
97925,highway,crossing,1000,2
67779,highway,traffic_signals,500,1
120853,highway,turning_circle,500,7
111590,highway,traffic_signals,500,10
85867,highway,traffic_signals,100,1
114189,highway,trailhead,1000,1
83549,highway,stop,1000,16
79617,highway,stop,500,7
90465,highway,stop,1000,27
61015,highway,turning_circle,1000,1
76597,highway,crossing,1000,125
83549,highway,street_lamp,1000,2
61193,highway,stop,500,47
20165,highway,motorway_junction,500,2
62291,highway,bus_stop,1000,97
73667,highway,crossing,500,99
86407,highway,crossing,1000,7
80691,highway,street_lamp,1000,1
22067,highway,turning_circle,1000,8
78041,highway,turning_circle,500,5
65747,highway,traffic_signals,1000,1
78041,highway,bus_stop,1000,52
65723,highway,bus_stop,100,2
61619,highway,crossing,500,1
77711,highway,traffic_signals,500,2
76597,highway,stop,1000,13
135134,highway,stop,1000,11
78615,highway,turning_circle,1000,26
143602,highway,turning_circle,500,6
64857,highway,turning_circle,100,1
19047,highway,traffic_signals,500,1
86273,highway,turning_circle,500,4
73689,highway,crossing,500,37
14885,highway,turning_circle,1000,7
19153,highway,bus_stop,100,1
39665,highway,motorway_junction,500,1
62419,highway,bus_stop,1000,11
